locality;caterpillar;plant
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Elem;Meekiaria purpurea;Psychotria micrococca
Elem;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Elem;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu1;Adoxophyes thoracica;Syzygium longipes
Morox;Dudua n. sp. nr. aprobola;Syzygium sp.
Utai;Dichomeris ochreoviridella;Macaranga aleuritoides
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Mellea sp. AAI1456;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Mellea sp. AAI1456;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Mellea sp. AAI1456;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
