Species	value	skupina	type	
Noctuidae sp.GEOM149	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT095	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT100	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT104	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT107	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT117	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT119	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT121	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT122	1	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT123	1	NOPARA	num_loc_no_para	
Nolidae sp.NOLI002	1	NOPARA	num_loc_no_para	
NolidaeGEN sp. AAH3367	1	NOPARA	num_loc_no_para	
Notarcha sp. ACE6204	1	NOPARA	num_loc_no_para	
Nothomastix klossi	1	NOPARA	num_loc_no_para	
nr. Peritornenta	1	NOPARA	num_loc_no_para	
Nudaria sp. USNM1	1	NOPARA	num_loc_no_para	
Olene sp. AAB5676	1	NOPARA	num_loc_no_para	
OlethreutinaeGEN sp. AAG0327	1	NOPARA	num_loc_no_para	
Omiodes lasiocnemis	1	NOPARA	num_loc_no_para	
Orvasca sp.1	1	NOPARA	num_loc_no_para	
Paradromulia nr. but not lignifascia	1	NOPARA	num_loc_no_para	
Parapamemene	1	NOPARA	num_loc_no_para	
Parilyrgis intacta	1	NOPARA	num_loc_no_para	
Perixera sp. AAI2524	1	NOPARA	num_loc_no_para	
Perixera sp. AAI2525	1	NOPARA	num_loc_no_para	
Pharambara micacealis	1	NOPARA	num_loc_no_para	
Phostria lanialis	1	NOPARA	num_loc_no_para	
PhycitinaeGEN sp. AAG0392	1	NOPARA	num_loc_no_para	
PhycitinaeGEN sp. AAG0396	1	NOPARA	num_loc_no_para	
Piletocera sp. CRAM094	1	NOPARA	num_loc_no_para	
